id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,Rental unit in Valencia · ★4.56 · 2 bedrooms · 2 beds · 1 bath,219476,Toni,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,89,4,137,2023-08-31,0.87,4,52,9,VT-41540-V
55692,Rental unit in Valencia · 1 bedroom · 1 bed,120649,Pilar,CIUTAT VELLA,LA SEU,39.47658,-0.37654,Entire home/apt,100,1,1,2014-11-11,0.01,1,0,0,
100347,Rental unit in València · ★4.58 · 3 bedrooms · 3 beds · 2 baths,1451371,Santiago,EXTRAMURS,ARRANCAPINS,39.45965,-0.38453,Entire home/apt,171,3,142,2023-09-01,2.02,1,0,7,
102524,Villa in Valencia · ★4.56 · 5 bedrooms · 20 beds · 5.5 baths,535881,Vicente,POBLATS MARITIMS,LA MALVA-ROSA,39.48197,-0.32456,Entire home/apt,532,2,197,2023-08-13,1.36,7,87,30,VT-36438-V
136378,Condo in Valencia · ★4.46 · 1 bedroom · 2 beds · 1 bath,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47358,-0.37815,Entire home/apt,75,28,25,2023-06-30,0.17,3,6,2,VT-42161-V
149715,Home in Valencia · ★4.64 · 5 bedrooms · 7 beds · 3.5 baths,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,297,2,237,2023-09-09,1.60,1,315,35,Nº TURISMO VT36469V  CATEGORIA: standard
152369,Loft in Valencia · ★4.84 · Studio · 1 bed · 1 bath,644376,Oscar,CIUTAT VELLA,EL CARME,39.47863,-0.38219,Entire home/apt,60,2,80,2019-09-07,0.59,4,0,0,
153375,Rental unit in Valencia · 1 bedroom · 2 beds · 1 bath,737412,Florence,QUATRE CARRERES,MONT-OLIVET,39.46062,-0.3605,Entire home/apt,25,180,0,,,1,175,0,
165971,Rental unit in Valencia · ★4.87 · 1 bedroom · 2 beds · 1 bath,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,137,5,475,2023-08-19,3.21,6,69,51,VT-32757-V
166315,Rental unit in Valencia · ★4.89 · 1 bedroom · 2 beds · 1 bath,591197,Elisa,CIUTAT VELLA,EL MERCAT,39.47337,-0.3778,Entire home/apt,30,28,57,2023-07-31,0.42,3,40,8,VT-42153-V
169284,Rental unit in Valencia · ★4.39 · 1 bedroom · 1 bed · 1 bath,806645,Maria Jesus,L'OLIVERETA,NOU MOLES,39.46759,-0.39067,Entire home/apt,49,6,131,2023-08-26,1.05,11,217,24,
182221,Rental unit in Valencia · ★4.43 · 2 bedrooms · 5 beds · 1 bath,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,155,3,7,2022-04-26,0.07,2,285,0,VT-38755-V
192674,Rental unit in Valencia · ★4.85 · 2 bedrooms · 4 beds · 2 baths,933504,Anthony,CIUTAT VELLA,EL CARME,39.48002,-0.38021,Entire home/apt,113,4,140,2023-09-14,1.08,6,64,32,
970809,Rental unit in Valencia · ★4.61 · 1 bedroom · 1 bed · 1 bath,5305009,Javier,CIUTAT VELLA,EL MERCAT,39.47376,-0.37578,Entire home/apt,103,4,49,2023-06-12,0.41,2,255,6,VT-37899-V
193326,Rental unit in València · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473,-0.32897,Private room,51,1,276,2023-08-30,1.91,2,146,50,
225070,Rental unit in València · ★4.82 · 1 bedroom · 3 beds · 1 shared bath,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33123,Private room,53,1,199,2023-09-01,1.39,2,166,46,
983548,Rental unit in València · ★4.78 · 1 bedroom · 2 beds · 1.5 baths,1120386,Ignacio,EXTRAMURS,LA ROQUETA,39.46527,-0.3801,Entire home/apt,114,3,761,2023-09-01,5.94,1,337,57,VT-36327-V
231367,Rental unit in Valencia · ★4.88 · 1 bedroom · 1 bed · 1 bath,644376,Oscar,QUATRE CARRERES,MONT-OLIVET,39.45747,-0.36805,Entire home/apt,52,1,119,2021-09-29,0.86,4,0,0,
993282,Rental unit in Valencia · ★4.53 · 1 bedroom · 1 bed · 1 bath,5456718,Carla,EXTRAMURS,LA ROQUETA,39.46614,-0.38086,Entire home/apt,114,2,113,2023-09-09,0.94,1,135,24,
250981,Rental unit in Valencia · ★5.0 · 2 bedrooms · 3 beds · 1 bath,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,156,4,4,2022-12-06,0.04,2,279,1,
253764,Rental unit in Valencia · ★4.51 · 2 bedrooms · 4 beds · 2 baths,1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,227,5,47,2023-08-23,0.34,3,0,7,
995182,Rental unit in Valencia · ★4.56 · 3 bedrooms · 6 beds · 2 baths,5318547,Serafin Y Maribel,CIUTAT VELLA,SANT FRANCESC,39.47062,-0.37194,Entire home/apt,245,3,275,2023-09-10,2.21,1,212,29,VT-36511-V
260929,Rental unit in Valencia · ★4.69 · 1 bedroom · 1 bed · 1 private bath,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47507,-0.36296,Private room,50,2,106,2023-08-26,0.84,3,198,62,
260935,Rental unit in Valencia · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47505,-0.36282,Private room,43,2,438,2023-08-27,3.19,3,329,64,
1031086,Rental unit in València · ★5.0 · 1 bedroom · 1 bed · 1 private bath,5674436,Paqui,QUATRE CARRERES,EN CORTS,39.45910215519087,-0.37034783227055745,Private room,186,1,11,2019-03-19,0.11,1,16,0,
273373,Townhouse in Valencia · ★4.57 · 4 bedrooms · 14 beds · 2 baths,1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48183,-0.32578,Entire home/apt,428,3,114,2023-09-04,0.83,9,329,17,AT-33952-V
1040499,Rental unit in Valencia · ★4.91 · 3 bedrooms · 4 beds · 2 baths,5352316,Paco,L'EIXAMPLE,RUSSAFA,39.46252,-0.37633,Entire home/apt,128,30,53,2023-09-10,0.46,1,6,6,VT-34289-V
