Distrito;venta €/m2;fecha venta;alquiler €/m2;fecha alquiler
Algiros;2294;sep-23;11.9;sep-23
Benicalap;1826;sep-23;9.6;mar-23
Benimaclet;2081;abr-23;9.4;
Camins al grau;2232;ago-23;12.6;sep-23
Campanar;2597;sep-23;12.5;sep-23
Ciutat vella;3161;sep-23;15.7;sep-23
El pla del real;2863;sep-23;12.4;sep-23
Extramurs;2567;sep-23;11.4;mar-23
Jesus;1720;sep-23;10;sep-23
L'eixample;3397;sep-23;14.3;sep-23
L'olivereta;1647;sep-23;10.4;sep-23
La saidia;1951;jul-23;11.2;sep-23
Patraix;1822;sep-23;10;jun-23
Poblats maritims;2057;sep-23;12.9;sep-23
Quatre carreres;2228;sep-23;12.1;jul-23
Rascanya;1553;sep-23;10.5;sep-23
