Transaccion_#;Fecha_Hora;ID_Producto;Tipo_Venta;Cantidad;ID_Ciudad;ID_Categoria;ID_Subcategoria
625112;01/01/2024 10:02;TCLB-94347;Online;1;TOK;TCL;TCLB
625113;01/01/2024 11:14;TREC-68039;Online;1;SAI;TRE;TREC
625114;01/01/2024 17:07;TREA-19376;Online;1;NAO;TRE;TREA
625115;01/01/2024 19:50;ELEG-97121;Online;1;YOK;ELE;ELEG
625116;02/01/2024 4:53;TCLB-73973;Tienda;1;FUK;TCL;TCLB
625117;02/01/2024 4:56;VALC-30993;Online;1;TOK;VAL;VALC
625118;02/01/2024 6:23;CAME-19012;Online;1;TOK;CAM;CAME
625119;02/01/2024 15:40;TVSC-15871;Tienda;1;TOK;TVS;TVSC
625120;02/01/2024 19:28;CAMF-35067;Online;1;OKA;CAM;CAMF
625121;03/01/2024 4:10;PMUA-18768;Online;2;KAW;PMU;PMUA
625122;03/01/2024 11:02;TREB-96123;Online;1;TOK;TRE;TREB
625123;03/01/2024 12:16;EAGC-73517;Online;1;TOK;EAG;EAGC
625124;03/01/2024 21:48;GFTB-28763;Online;2;HIR;GFT;GFTB
625125;03/01/2024 23:16;AUDA-30254;Online;1;TOK;AUD;AUDA
625126;04/01/2024 6:03;PMUD-13214;Online;1;NAO;PMU;PMUD
625127;04/01/2024 13:36;AUDD-31740;Online;1;OKA;AUD;AUDD
625128;05/01/2024 1:25;JUGC-88258;Online;1;NAO;JUG;JUGC
625129;05/01/2024 2:35;ELEG-97121;Online;1;OKA;ELE;ELEG
625130;05/01/2024 10:46;JUGA-19374;Online;3;TOK;JUG;JUGA
625131;05/01/2024 19:53;HIND-78250;Online;1;OSA;HIN;HIND
625132;06/01/2024 1:29;TREA-12574;Online;3;OSA;TRE;TREA
625133;06/01/2024 12:53;HOGA-90043;Online;1;TOK;HOG;HOGA
625134;06/01/2024 13:28;SALA-16568;Online;1;OSA;SAL;SALA
625135;06/01/2024 22:49;SVSC-14017;Online;1;OSA;SVS;SVSC
625136;07/01/2024 5:17;AUDF-96046;Online;1;TOK;AUD;AUDF
625137;07/01/2024 9:59;SVSB-78752;Online;1;TOK;SVS;SVSB
625138;07/01/2024 18:15;PMUF-91948;Online;2;TOK;PMU;PMUF
625139;08/01/2024 4:24;TREA-92263;Online;1;TOK;TRE;TREA
625140;08/01/2024 12:12;JUGC-88258;Tienda;1;NAO;JUG;JUGC
625141;08/01/2024 22:13;TVSK-29455;Online;2;YOK;TVS;TVSK
625142;09/01/2024 7:09;DEPC-21455;Tienda;1;SAI;DEP;DEPC
625143;09/01/2024 13:33;SALB-86207;Online;1;NAO;SAL;SALB
625144;09/01/2024 22:42;PCTB-85135;Tienda;2;TOK;PCT;PCTB
625145;10/01/2024 8:02;AUDA-42282;Online;1;TOK;AUD;AUDA
625146;10/01/2024 19:48;TVSB-19363;Online;1;TOK;TVS;TVSB
625147;10/01/2024 21:32;PMUA-42938;Online;1;YOK;PMU;PMUA
625148;11/01/2024 1:11;AUDF-40095;Online;1;TOK;AUD;AUDF
625149;11/01/2024 6:45;TVSF-51846;Online;1;OSA;TVS;TVSF
625150;11/01/2024 12:22;ELEG-97121;Online;1;TOK;ELE;ELEG
625151;11/01/2024 12:50;AUDA-95895;Online;1;NAO;AUD;AUDA
625152;11/01/2024 22:17;AUDA-46953;Online;1;KYO;AUD;AUDA
625153;12/01/2024 0:02;PMUF-69780;Online;1;TOK;PMU;PMUF
625154;12/01/2024 4:00;PCTA-58873;Online;1;TOK;PCT;PCTA
625155;12/01/2024 6:09;ELEH-14712;Online;1;NAO;ELE;ELEH
625156;12/01/2024 9:09;PMUD-13214;Tienda;1;TOK;PMU;PMUD
625157;12/01/2024 18:34;HOGB-42827;Online;1;TOK;HOG;HOGB
625158;13/01/2024 4:48;PCTA-15104;Online;1;OSA;PCT;PCTA
625159;13/01/2024 14:33;TVSF-59761;Online;1;KYO;TVS;TVSF
625160;14/01/2024 0:46;DEPC-99296;Online;1;TOK;DEP;DEPC
625161;14/01/2024 10:42;EAGC-95207;Online;1;NAO;EAG;EAGC
625162;14/01/2024 19:37;EAGA-87908;Online;1;TOK;EAG;EAGA
625163;15/01/2024 1:30;SALA-92498;Online;1;YOK;SAL;SALA
625164;15/01/2024 7:00;TREA-95262;Online;1;TOK;TRE;TREA
625165;15/01/2024 9:08;PMUF-11542;Online;3;KYO;PMU;PMUF
625166;15/01/2024 13:56;SVSB-53445;Online;2;TOK;SVS;SVSB
625167;15/01/2024 21:01;ELEA-50206;Online;1;KYO;ELE;ELEA
625168;16/01/2024 8:00;TVSB-75678;Online;1;TOK;TVS;TVSB
625169;16/01/2024 17:37;HINC-81170;Tienda;1;YOK;HIN;HINC
625170;16/01/2024 21:58;PMUB-71172;Online;1;NAO;PMU;PMUB
625171;17/01/2024 4:22;EAGC-20117;Online;1;OSA;EAG;EAGC
625172;17/01/2024 4:30;SALB-55826;Online;1;TOK;SAL;SALB
625173;17/01/2024 12:01;CAMG-77378;Online;2;YOK;CAM;CAMG
625174;17/01/2024 18:14;HOGB-13551;Online;1;NAO;HOG;HOGB
625175;17/01/2024 21:27;JUGB-10505;Online;1;TOK;JUG;JUGB
625176;17/01/2024 22:05;TVSE-57605;Online;1;TOK;TVS;TVSE
625177;18/01/2024 6:26;SALC-74981;Online;1;YOK;SAL;SALC
625178;18/01/2024 14:58;SVSA-57564;Online;2;TOK;SVS;SVSA
625179;18/01/2024 18:16;HOGC-91549;Tienda;3;KOB;HOG;HOGC
625180;18/01/2024 23:45;SVSC-49713;Online;3;TOK;SVS;SVSC
625181;19/01/2024 8:34;CAME-33056;Online;1;TOK;CAM;CAME
625182;19/01/2024 10:08;CAMB-91772;Online;3;TOK;CAM;CAMB
625183;19/01/2024 20:16;CAMB-96393;Online;1;YOK;CAM;CAMB
625184;20/01/2024 6:48;JUGA-70344;Online;1;TOK;JUG;JUGA
625185;20/01/2024 17:12;TVSF-89636;Online;1;OKA;TVS;TVSF
625186;20/01/2024 21:34;AUDD-51870;Online;3;OSA;AUD;AUDD
625187;21/01/2024 3:13;SVSB-20819;Tienda;1;NAA;SVS;SVSB
625188;21/01/2024 12:47;VALA-66912;Online;1;TOK;VAL;VALA
625189;21/01/2024 23:33;HIND-67560;Online;1;TOK;HIN;HIND
625190;22/01/2024 0:20;VJGC-22284;Online;1;TOK;VJG;VJGC
625191;22/01/2024 7:01;CAMC-67490;Online;2;FUK;CAM;CAMC
625192;22/01/2024 9:37;CAMG-17420;Online;1;OSA;CAM;CAMG
625193;22/01/2024 21:34;PCTD-11136;Online;3;TOK;PCT;PCTD
625194;23/01/2024 0:40;SALC-82294;Tienda;2;OSA;SAL;SALC
625195;23/01/2024 2:08;EAGA-87908;Online;1;TOK;EAG;EAGA
625196;23/01/2024 3:25;HIND-90525;Tienda;1;OSA;HIN;HIND
625197;23/01/2024 14:41;EAGC-60397;Online;1;NAO;EAG;EAGC
625198;23/01/2024 23:13;TVSH-58041;Online;1;SEN;TVS;TVSH
625199;24/01/2024 5:06;TVSK-49778;Online;1;NAO;TVS;TVSK
625200;24/01/2024 9:38;TCLC-70860;Online;1;YOK;TCL;TCLC
625201;24/01/2024 15:06;VJGA-52049;Online;1;SAI;VJG;VJGA
625202;25/01/2024 1:18;TVSF-66259;Online;1;NAO;TVS;TVSF
625203;25/01/2024 7:18;CAMC-93921;Tienda;1;YOK;CAM;CAMC
625204;25/01/2024 7:32;PCTE-51280;Online;1;TOK;PCT;PCTE
625205;25/01/2024 19:29;SVSB-53445;Online;1;TOK;SVS;SVSB
625206;25/01/2024 20:39;TVSG-12052;Online;1;TOK;TVS;TVSG
625207;25/01/2024 20:52;ELEG-76662;Online;1;TOK;ELE;ELEG
625208;25/01/2024 22:58;PCTC-27031;Online;1;OSA;PCT;PCTC
625209;26/01/2024 5:47;EAGB-95303;Tienda;1;OSA;EAG;EAGB
625210;26/01/2024 6:36;HINC-71647;Online;1;OSA;HIN;HINC
625211;26/01/2024 13:23;JUGB-10505;Tienda;1;OSA;JUG;JUGB
625212;26/01/2024 16:37;GFTB-95623;Online;1;YOK;GFT;GFTB
625213;27/01/2024 2:10;TREB-15387;Online;1;TOK;TRE;TREB
625214;27/01/2024 5:29;SVSC-89352;Tienda;2;YOK;SVS;SVSC
625215;27/01/2024 6:00;TVSF-54905;Online;1;TOK;TVS;TVSF
625216;27/01/2024 14:03;TCLA-81111;Online;1;KYO;TCL;TCLA
625217;27/01/2024 22:45;PCTB-11336;Online;2;KYO;PCT;PCTB
625218;28/01/2024 2:21;JUGA-37600;Tienda;1;TOK;JUG;JUGA
625219;28/01/2024 3:06;EAGC-60397;Online;1;KOB;EAG;EAGC
625220;28/01/2024 12:44;CAMD-97282;Online;1;OSA;CAM;CAMD
625221;29/01/2024 0:28;SVSB-78752;Online;3;NAO;SVS;SVSB
625222;29/01/2024 2:20;HOGC-31342;Online;2;KAW;HOG;HOGC
625223;29/01/2024 12:54;VALC-77528;Online;1;TOK;VAL;VALC
625224;29/01/2024 23:23;SVSB-53445;Online;1;TOK;SVS;SVSB
625225;30/01/2024 2:43;SALB-86147;Online;1;TOK;SAL;SALB
625226;30/01/2024 2:49;GFTB-59305;Online;2;OSA;GFT;GFTB
625227;30/01/2024 12:58;TVSB-65396;Tienda;1;TOK;TVS;TVSB
625228;30/01/2024 19:08;TVSB-25580;Tienda;1;YOK;TVS;TVSB
625229;31/01/2024 5:34;HIND-59565;Online;1;YOK;HIN;HIND
625230;31/01/2024 8:15;PCTF-75629;Online;2;YOK;PCT;PCTF
625231;31/01/2024 18:37;SVSB-70583;Tienda;1;NAO;SVS;SVSB
625232;01/02/2024 2:38;EAGA-86383;Online;2;TOK;EAG;EAGA
625233;01/02/2024 13:49;ELEH-84061;Online;1;TOK;ELE;ELEH
625234;01/02/2024 16:42;EAGA-34753;Tienda;3;TOK;EAG;EAGA
625235;02/02/2024 1:07;JUGA-79838;Online;1;TOK;JUG;JUGA
625236;02/02/2024 1:13;PMUB-71172;Online;2;YOK;PMU;PMUB
625237;02/02/2024 8:34;TVSF-97496;Online;1;TOK;TVS;TVSF
625238;02/02/2024 10:11;VALC-16551;Online;1;OSA;VAL;VALC
625239;02/02/2024 15:38;TVSA-69059;Online;1;OSA;TVS;TVSA
625240;02/02/2024 21:03;TREC-29209;Online;1;NAO;TRE;TREC
625241;03/02/2024 8:51;GFTB-95623;Online;1;TOK;GFT;GFTB
625242;03/02/2024 15:39;HOGC-91549;Online;3;OSA;HOG;HOGC
625243;04/02/2024 0:53;AUDG-95382;Online;1;TOK;AUD;AUDG
625244;04/02/2024 7:23;TVSA-37154;Online;1;KOB;TVS;TVSA
625245;04/02/2024 9:14;ELEE-79787;Online;3;TOK;ELE;ELEE
625246;04/02/2024 10:50;HINC-94059;Online;1;TOK;HIN;HINC
625247;04/02/2024 21:36;CAMB-44180;Tienda;1;OSA;CAM;CAMB
625248;04/02/2024 22:23;PMUA-46620;Online;2;FUK;PMU;PMUA
625249;05/02/2024 9:01;VALA-62707;Online;1;KYO;VAL;VALA
625250;05/02/2024 12:35;VALA-45556;Online;2;OSA;VAL;VALA
625251;05/02/2024 20:30;TVSF-79386;Online;3;YOK;TVS;TVSF
625252;06/02/2024 8:07;PCTG-94398;Online;1;KYO;PCT;PCTG
625253;06/02/2024 10:06;AUDE-20785;Online;3;OSA;AUD;AUDE
625254;06/02/2024 10:11;PCTG-71022;Online;1;SAP;PCT;PCTG
625255;06/02/2024 14:48;SALB-55826;Tienda;1;TOK;SAL;SALB
625256;06/02/2024 19:36;VALD-85277;Online;1;TOK;VAL;VALD
625257;06/02/2024 20:08;PMUA-22761;Tienda;1;OSA;PMU;PMUA
625258;07/02/2024 4:23;ELEF-50722;Online;1;NAO;ELE;ELEF
625259;07/02/2024 5:52;VALA-62707;Online;1;TOK;VAL;VALA
625260;07/02/2024 16:16;TVSC-32293;Online;2;TOK;TVS;TVSC
625261;07/02/2024 23:59;ELEH-59218;Online;3;NAO;ELE;ELEH
625262;08/02/2024 6:43;SVSA-29587;Online;1;OSA;SVS;SVSA
625263;08/02/2024 8:31;SALB-74444;Online;1;OSA;SAL;SALB
625264;08/02/2024 10:47;TVSE-57605;Online;1;TOK;TVS;TVSE
625265;08/02/2024 16:15;ELEH-14712;Online;1;TOK;ELE;ELEH
625266;09/02/2024 1:48;SALC-25944;Online;1;TOK;SAL;SALC
625267;09/02/2024 11:18;HINA-51521;Online;1;TOK;HIN;HINA
